,City,Lat,Lng,Max Temp (f),Humidity,Cloudiness,Wind Speed,Country
0,rikitea,-23.1203,-134.9692,75.70399999999995,81,100,3.81,PF
1,sioux lookout,50.1001,-91.917,68.26999999999995,32,75,3.6,CA
2,aklavik,68.2191,-135.0107,28.66999999999996,68,100,2.06,CA
3,rafaela,-31.2503,-61.4867,67.26199999999996,54,5,3.26,AR
4,saint george,37.1041,-113.5841,90.26600000000002,7,1,10.29,US
5,berlevag,70.8578,29.0864,31.424000000000014,69,99,5.86,NO
6,narsaq,60.9167,-46.05,44.86999999999996,24,20,16.98,GL
7,bandrele,-12.9067,45.1914,80.86999999999996,83,75,5.66,YT
8,limbang,4.75,115.0,82.66999999999996,83,75,0.51,MY
9,touros,-5.1989,-35.4608,75.46999999999997,94,20,1.54,BR
10,araouane,18.9048,-3.5265,87.20600000000003,27,6,2.23,ML
11,mucurici,-18.0933,-40.5158,64.47200000000004,92,100,2.86,BR
12,bluff,-46.6,168.3333,58.26199999999996,73,99,2.68,NZ
13,half moon bay,37.4636,-122.4286,61.26799999999999,87,90,8.23,US
14,mataura,-46.1927,168.8643,58.26199999999996,73,38,2.68,NZ
15,qaanaaq,77.484,-69.3632,28.706000000000028,59,32,3.07,GL
16,iqaluit,63.7506,-68.5145,37.66999999999996,75,75,8.23,CA
17,new norfolk,-42.7826,147.0587,64.27400000000002,66,100,1.3,AU
18,cape town,-33.9258,18.4232,57.272000000000034,87,0,1.03,ZA
19,ushuaia,-54.8,-68.3,37.66999999999996,81,75,2.57,AR
20,tuatapere,-46.1333,167.6833,58.26199999999996,73,15,2.68,NZ
21,beringovskiy,63.05,179.3167,21.956000000000028,78,98,5.97,RU
22,sassandra,4.95,-6.0833,79.21400000000003,87,100,2.7,CI
23,kazerun,29.6195,51.6541,66.18200000000002,37,0,1.11,IR
24,cherskiy,68.75,161.3,21.70399999999995,75,22,0.66,RU
25,castro,-24.7911,-50.0119,55.36400000000003,96,12,2.45,BR
26,yellowknife,62.456,-114.3525,34.26799999999999,51,20,4.12,CA
27,butaritari,3.0707,172.7902,83.60600000000002,74,100,4.71,KI
28,punta arenas,-53.15,-70.9167,41.26999999999996,87,40,3.09,CL
29,pisco,-13.7,-76.2167,70.06999999999996,78,0,2.06,PE
30,novyy urengoy,66.0833,76.6333,28.651999999999976,91,100,5.46,RU
31,brus laguna,15.75,-84.4833,79.71799999999999,73,0,3.81,HN
32,balikpapan,-1.2675,116.8289,81.44600000000005,79,97,0.34,ID
33,puerto ayora,-0.7393,-90.3518,76.26199999999996,91,13,0.89,EC
34,yola,9.2,12.4833,86.108,47,100,1.52,NG
35,jamestown,42.097,-79.2353,57.272000000000034,33,90,8.75,US
36,busselton,-33.65,115.3333,56.26400000000004,91,9,1.35,AU
37,omboue,-1.5746,9.2618,78.74600000000005,91,100,1.58,GA
38,atuona,-9.8,-139.0333,79.88000000000005,68,9,3.1,PF
39,hun,29.1268,15.9477,83.46199999999996,7,59,3.91,LY
40,sinnai,39.3042,9.2036,59.26999999999996,82,0,3.09,IT
41,amapa,1.0,-52.0,72.40999999999998,99,100,0.85,BR
42,ulaangom,49.9811,92.0667,39.88399999999999,48,100,11.59,MN
43,westport,41.1415,-73.3579,57.469999999999956,38,1,2.06,US
44,jalu,29.0331,21.5482,84.61400000000003,14,0,3.93,LY
45,east london,-33.0153,27.9116,60.475999999999985,68,0,2.73,ZA
46,abu zabad,12.35,29.25,86.50399999999996,33,73,2.35,SD
47,hofn,64.2539,-15.2082,35.708000000000006,69,100,6.54,IS
48,yar-sale,66.8333,70.8333,29.714000000000034,96,100,9.19,RU
49,norman wells,65.282,-126.8329,48.469999999999956,34,40,5.66,CA
50,tilichiki,60.4667,166.1,24.277999999999963,71,5,3.9,RU
51,bandarbeyla,9.4942,50.8122,83.49800000000002,76,100,2.83,SO
52,vestmanna,62.1564,-7.1664,35.86999999999996,80,90,0.51,FO
53,nanortalik,60.1432,-45.2371,35.924000000000014,69,94,6.65,GL
54,grindavik,63.8424,-22.4338,37.66999999999996,60,0,3.6,IS
55,albany,42.6001,-73.9662,50.26999999999996,53,100,1.0,US
56,gamba,-2.65,10.0,77.28800000000004,92,39,2.21,GA
57,kashary,49.04,41.0056,53.95999999999998,88,100,1.14,RU
58,carnarvon,-24.8667,113.6333,68.26999999999995,64,100,3.6,AU
59,bathsheba,13.2167,-59.5167,79.06999999999996,65,20,5.66,BB
60,turinsk,58.0458,63.696,52.66400000000003,65,100,5.65,RU
61,kaitangata,-46.2817,169.8464,61.26799999999999,54,12,6.71,NZ
62,lawton,34.6087,-98.3903,70.06999999999996,94,90,4.63,US
63,ciudad bolivar,8.1222,-63.5497,84.34399999999997,62,99,5.79,VE
64,tukrah,32.5341,20.5791,83.73200000000003,21,19,6.45,LY
65,garissa,-0.4536,39.6401,79.28599999999997,77,28,5.49,KE
66,port alfred,-33.5906,26.891,60.530000000000044,58,0,1.95,ZA
67,bonaventure,48.0457,-65.4926,43.06999999999996,22,0,4.63,CA
68,bauchi,10.5,10.0,82.43599999999998,14,85,0.91,NG
69,cidreira,-30.1811,-50.2056,69.38599999999997,80,0,7.34,BR
70,husavik,66.0449,-17.3389,32.26999999999996,86,90,1.03,IS
71,bethel,41.3712,-73.414,57.469999999999956,24,1,1.19,US
72,shimoda,34.6667,138.95,66.27200000000005,55,20,8.23,JP
73,airai,-8.9266,125.4092,68.61199999999997,55,85,1.66,TL
74,dikson,73.5069,80.5464,21.614000000000033,92,100,3.29,RU
75,bredasdorp,-34.5322,20.0403,44.86999999999996,87,9,1.54,ZA
76,jingdezhen,29.2947,117.2079,79.23200000000003,68,4,2.17,CN
77,georgetown,5.4112,100.3354,81.26600000000002,89,20,0.51,MY
78,palembang,-2.9167,104.7458,80.86999999999996,89,20,1.03,ID
79,omurtag,43.1,26.4167,66.46999999999997,72,100,2.57,BG
80,eregli,37.5133,34.0467,61.44800000000002,41,17,1.64,TR
81,peleduy,59.6289,112.7406,40.38800000000005,89,100,2.4,RU
82,kruisfontein,-34.0033,24.7314,53.311999999999955,72,0,1.9,ZA
83,sulangan,11.1373,123.7228,82.92200000000004,75,12,3.83,PH
84,macapa,0.0389,-51.0664,79.06999999999996,94,75,1.03,BR
85,hermanus,-34.4187,19.2345,59.26999999999996,71,69,3.13,ZA
86,saint-philippe,-21.3585,55.7679,73.66999999999996,73,0,3.09,RE
87,nikolskoye,59.7035,30.7861,36.266000000000005,80,0,1.34,RU
88,arrecife,28.963,-13.5477,64.66999999999996,68,0,4.63,ES
89,los llanos de aridane,28.6585,-17.9182,66.46999999999997,63,40,5.66,ES
90,upernavik,72.7868,-56.1549,22.064000000000032,82,8,2.33,GL
91,necochea,-38.5473,-58.7368,56.26400000000004,80,94,2.68,AR
92,bengkulu,-3.8004,102.2655,79.37599999999999,79,62,1.78,ID
93,ancud,-41.8697,-73.8203,52.069999999999965,82,0,4.12,CL
94,labuhan,-6.8844,112.2051,80.90600000000003,82,100,3.72,ID
95,blagoveshchenka,52.8333,79.8667,40.33399999999999,69,0,2.88,RU
